segment,questions,correct,wrong,accuracy,error_rate,error_rate_ci95_low,error_rate_ci95_high,share_of_all_errors,pass_at_32,oracle_failure_count,vote_failure_count,mean_correct_samples_of_32
chars_129_256,1688,1297,391,0.7683649289099526,0.23163507109004738,0.21213249138476667,0.25235633806410407,0.36003683241252304,0.8815165876777251,200,191,21.722156398104264
chars_1_128,755,608,147,0.8052980132450331,0.1947019867549669,0.16803193504762037,0.22446303917738547,0.13535911602209943,0.9033112582781457,73,74,22.972185430463576
chars_257_512,1032,640,392,0.6201550387596899,0.3798449612403101,0.35073058205768665,0.40985053980400427,0.36095764272559855,0.7936046511627907,213,179,15.897286821705427
chars_513_plus,262,106,156,0.40458015267175573,0.5954198473282443,0.5350250845755019,0.6530569407858026,0.143646408839779,0.6297709923664122,97,59,8.286259541984732
