segment,questions,correct,wrong,accuracy,error_rate,error_rate_ci95_low,error_rate_ci95_high,share_of_all_errors,pass_at_32,oracle_failure_count,vote_failure_count,mean_correct_samples_of_32,complement_error_rate,relative_error_risk
geometry,454,221,233,0.486784140969163,0.513215859030837,0.46732136125288415,0.5588885849387726,0.214548802946593,0.6916299559471366,140,93,12.685022026431717,0.2598233323180018,1.9752493144176295
number_theory,359,157,202,0.4373259052924791,0.5626740947075209,0.5109650620583892,0.6130560466270925,0.1860036832412523,0.6518105849582173,125,77,11.027855153203342,0.2616933096506809,2.150127932038468
combinatorics_probability,201,83,118,0.4129353233830846,0.5870646766169154,0.5179868167677197,0.6528770317983896,0.10865561694290976,0.6019900497512438,80,38,9.74129353233831,0.2737556561085973,2.144484190617162
long_question,184,72,112,0.391304347826087,0.6086956521739131,0.5366447092620628,0.6763008260373751,0.10313075506445672,0.6358695652173914,67,45,8,0.2741345341964537,2.2204267476118202
large_integer_answer,119,30,89,0.25210084033613445,0.7478991596638656,0.6629702080798199,0.8173236647414035,0.08195211786372007,0.31932773109243695,81,8,5.974789915966387,0.27556661138750693,2.7140412835144088
