segment,questions,correct,wrong,accuracy,error_rate,error_rate_ci95_low,error_rate_ci95_high,share_of_all_errors,pass_at_32,oracle_failure_count,vote_failure_count,mean_correct_samples_of_32
00,583,0,583,0.0,1.0,0.9934540091485463,1.0000000000000002,0.5368324125230203,0.0,583,0,0
01_02,256,11,245,0.04296875,0.95703125,0.9247089445363343,0.9758401866993924,0.22559852670349909,1.0,0,245,1.42578125
03_04,139,29,110,0.20863309352517986,0.7913669064748201,0.7164371340827176,0.8506251226930102,0.10128913443830571,1.0,0,110,3.4820143884892087
05_08,183,90,93,0.4918032786885246,0.5081967213114754,0.43634385437363493,0.5797125392069731,0.0856353591160221,1.0,0,93,6.404371584699454
09_16,272,219,53,0.8051470588235294,0.1948529411764706,0.15216751344012183,0.24603752539015286,0.04880294659300184,1.0,0,53,12.371323529411764
17_24,353,351,2,0.9943342776203966,0.0056657223796034,0.0015551229806909442,0.020419506443280513,0.001841620626151013,1.0,0,2,20.81869688385269
25_32,1951,1951,0,1.0,0.0,0.0,0.0019650999334808353,0.0,1.0,0,0,30.678113787801127
