segment,questions,correct,wrong,accuracy,error_rate,error_rate_ci95_low,error_rate_ci95_high,share_of_all_errors,pass_at_32,oracle_failure_count,vote_failure_count,mean_correct_samples_of_32
negative,148,116,32,0.7837837837837838,0.21621621621621623,0.15752530756462213,0.28926609807385006,0.029465930018416207,0.9054054054054054,14,18,20.445945945945947
positive,3479,2455,1024,0.7056625467088243,0.2943374532911756,0.2794268916784421,0.30970169286397836,0.9429097605893186,0.8396090830698476,558,466,19.395803391779246
zero,110,80,30,0.7272727272727273,0.2727272727272727,0.19822684917759217,0.3625658486852097,0.027624309392265192,0.9,11,19,18.945454545454545
