segment,questions,correct,wrong,accuracy,error_rate,error_rate_ci95_low,error_rate_ci95_high,share_of_all_errors,pass_at_32,oracle_failure_count,vote_failure_count,mean_correct_samples_of_32
union,3737,2651,1086,0.7093925608777094,0.2906074391222906,0.27627097125666583,0.30537395616739854,1.0,0.843992507358844,583,503,19.424137008295425
random_holdout,1637,1235,402,0.7544288332315211,0.24557116676847893,0.2253319834555077,0.2670016630878372,0.3701657458563536,0.8845448992058644,189,213,21.13011606597434
template_holdout,1637,1238,399,0.7562614538790471,0.24373854612095297,0.2235561786564249,0.2651208074778685,0.3674033149171271,0.8814905314599878,194,205,20.948075748320097
hard_diagnostic,550,229,321,0.4163636363636364,0.5836363636363636,0.5419974571727965,0.6241150620956192,0.2955801104972376,0.5890909090909091,226,95,9.74909090909091
format_diagnostic,256,137,119,0.53515625,0.46484375,0.4047172917918608,0.5260096981130833,0.10957642725598526,0.73046875,69,50,13.35546875
