segment,questions,correct,wrong,accuracy,error_rate,error_rate_ci95_low,error_rate_ci95_high,share_of_all_errors,pass_at_32,oracle_failure_count,vote_failure_count,mean_correct_samples_of_32
00,1,0,1,0.0,1.0,0.20654931437723745,1.0,0.0009208103130755065,0.0,1,0,0
01_02,101,11,90,0.10891089108910891,0.8910891089108911,0.8154299832554898,0.9380887190654149,0.08287292817679558,0.25742574257425743,75,15,0.45544554455445546
03_04,175,29,146,0.1657142857142857,0.8342857142857143,0.7721400071579935,0.8820707154088797,0.13443830570902393,0.42857142857142855,100,46,1.1257142857142857
05_08,373,90,283,0.24128686327077747,0.7587131367292225,0.7127963613499425,0.799355355194154,0.2605893186003683,0.6058981233243967,147,136,2.739946380697051
09_16,518,219,299,0.42277992277992277,0.5772200772200772,0.5342633575472407,0.6190399085075325,0.27532228360957645,0.7297297297297297,140,159,6.895752895752896
17_24,502,351,151,0.6992031872509961,0.300796812749004,0.2623160364747935,0.34230316483331014,0.13904235727440148,0.8924302788844621,54,97,15.51593625498008
25_32,2067,1951,116,0.9438800193517175,0.05611998064828253,0.046996551868091124,0.0668902248410257,0.10681399631675875,0.9680696661828737,66,50,29.00919206579584
