segment,questions,correct,wrong,accuracy,error_rate,error_rate_ci95_low,error_rate_ci95_high,share_of_all_errors,pass_at_32,oracle_failure_count,vote_failure_count,mean_correct_samples_of_32
digits_1_1,1112,849,263,0.7634892086330936,0.23651079136690648,0.2124684423588614,0.2623673460341159,0.2421731123388582,0.9325539568345323,75,188,20.610611510791365
digits_2_2,1401,1055,346,0.7530335474660956,0.24696645253390434,0.22509701768722756,0.2702196989797364,0.31860036832412525,0.8786581013561742,170,176,21.082798001427552
digits_3_3,676,447,229,0.6612426035502958,0.33875739644970415,0.3040798571312929,0.37525714538373495,0.21086556169429096,0.7899408284023669,142,87,17.968934911242602
digits_4_5,379,242,137,0.6385224274406333,0.36147757255936674,0.31472282258209683,0.41101221059993553,0.1261510128913444,0.741424802110818,98,39,17.155672823218996
digits_6_plus,169,58,111,0.3431952662721893,0.6568047337278107,0.5824535679809922,0.724185824914796,0.10220994475138122,0.42011834319526625,98,13,8.775147928994082
