segment,questions,correct,wrong,accuracy,error_rate,error_rate_ci95_low,error_rate_ci95_high,share_of_all_errors,pass_at_32,oracle_failure_count,vote_failure_count,mean_correct_samples_of_32
algebra,300,184,116,0.6133333333333333,0.38666666666666666,0.3333235932848012,0.44287548019276246,0.10681399631675875,0.79,63,53,15.626666666666667
arithmetic_word_problem,2594,2046,548,0.7887432536622976,0.2112567463377024,0.19598097240488144,0.22738645638346883,0.5046040515653776,0.8978411719352352,265,283,21.956437933693138
combinatorics_probability,159,85,74,0.5345911949685535,0.46540880503144655,0.38960900146425365,0.542840633415816,0.06813996316758748,0.6918238993710691,49,25,12.830188679245284
geometry,429,216,213,0.5034965034965035,0.4965034965034965,0.449432116172494,0.5436369396241165,0.19613259668508287,0.703962703962704,127,86,13.505827505827506
number_theory,255,120,135,0.47058823529411764,0.5294117647058824,0.46816740996060663,0.5897831211032399,0.12430939226519337,0.6901960784313725,79,56,12.2
